Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,BadPass,LostBall,Shoot Foul Commit,Shoot Foul Drawn,Off Foul Commit,Off Foul Drawn,PGA,And1,Blkd,Avg Dist on Shot,0-3 FGA,0-3 FG%,3-10 FGA,3-10 FG%,10-16 FGA,10-16 FG%,16-3P FGA,16-3P FG%,Player Key,All NBA 1st,All NBA 2nd,All NBA 3rd,All NBA,All NBA 1st2,All NBA 2nd2,All NBA 3rd2,All NBA Prev
Steven Adams,C,26.0,OKC,63.0,63.0,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,122.0,106.0,2020,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,0.0,0.0,0.0,0.0,1.0,4.5,5.3,33.0,27.0,62.0,87.0,20.0,5.0,336.0,17.0,32.0,4.4,0.513,0.743,0.397,0.416,0.082,0.513,0.002,1.0,Steven Adams2020,0,0,0,0,0,0,0,0
Bam Adebayo,PF,22.0,MIA,72.0,72.0,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.564,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,116.0,106.0,2020,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,0.0,0.0,0.0,0.57,0.44,4.9,6.1,94.0,53.0,99.0,174.0,32.0,7.0,928.0,42.0,60.0,5.8,0.481,0.726,0.301,0.445,0.144,0.404,0.056,0.227,Bam Adebayo2020,0,0,0,0,0,0,0,0
LaMarcus Aldridge,C,34.0,SAS,53.0,53.0,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,115.0,112.0,2020,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,0.0,0.0,0.0,0.06,0.94,-3.8,-5.3,13.0,20.0,70.0,83.0,29.0,1.0,309.0,23.0,20.0,13.7,0.202,0.719,0.129,0.471,0.227,0.461,0.245,0.433,LaMarcus Aldridge2020,0,0,0,0,0,0,0,0
Kyle Alexander,C,23.0,MIA,2.0,0.0,6.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,96.0,116.0,2020,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,0.0,0.0,0.0,-0.003,-6.1,-3.5,-9.6,0.0,0.0,0.0,0.0,0.9,0.1,-12.9,-15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Alexander2020,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,SG,21.0,NOP,47.0,1.0,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,93.0,113.0,2020,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,0.03,0.49,0.45,0.03,0.0,-4.2,-3.4,38.0,8.0,33.0,19.0,3.0,15.0,210.0,3.0,20.0,15.9,0.244,0.523,0.173,0.261,0.053,0.214,0.03,0.375,Nickeil Alexander-Walker2020,0,0,0,0,0,0,0,0
Grayson Allen,SG,24.0,MEM,38.0,0.0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,114.0,115.0,2020,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,0.03,0.74,0.23,0.0,0.0,-5.7,-6.3,19.0,8.0,34.0,19.0,1.0,10.0,127.0,4.0,9.0,16.9,0.151,0.711,0.179,0.444,0.104,0.5,0.004,0.0,Grayson Allen2020,0,0,0,0,0,0,0,0
Jarrett Allen,C,21.0,BRK,70.0,64.0,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,132.0,106.0,2020,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,0.0,0.0,0.0,0.0,1.0,0.9,3.2,20.0,17.0,94.0,113.0,26.0,7.0,268.0,31.0,44.0,2.6,0.755,0.746,0.211,0.367,0.019,0.444,0.002,0.0,Jarrett Allen2020,0,0,0,0,0,0,0,0
Kadeem Allen,PG,27.0,NYK,10.0,0.0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,106.0,114.0,2020,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0.0,0.83,0.15,0.02,0.0,0.0,-10.5,-4.3,2.0,2.0,2.0,2.0,1.0,1.0,51.0,1.0,2.0,15.1,0.159,0.571,0.182,0.375,0.227,0.6,0.068,0.333,Kadeem Allen2020,0,0,0,0,0,0,0,0
Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,88.0,108.0,2020,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,0.0,0.0,0.34,0.65,0.01,-5.4,-5.0,7.0,3.0,13.0,14.0,4.0,3.0,46.0,1.0,4.0,13.3,0.267,0.435,0.244,0.19,0.0,0.0,0.07,0.333,Al-Farouq Aminu2020,0,0,0,0,0,0,0,0
Justin Anderson,SG,26.0,BRK,10.0,1.0,10.7,1.0,3.8,0.263,0.6,2.9,0.207,0.4,0.9,0.444,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,78.0,109.0,2020,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,0.0,0.31,0.33,0.32,0.05,0.8,1.5,2.0,1.0,9.0,3.0,0.0,3.0,19.0,2.0,2.0,20.3,0.211,0.375,0.026,1.0,0.0,0.0,0.0,0.0,Justin Anderson2020,0,0,0,0,0,0,0,0
Kyle Anderson,SF,26.0,MEM,67.0,28.0,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,109.0,109.0,2020,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,0.0,0.0,0.14,0.71,0.15,-3.0,-3.7,35.0,17.0,59.0,40.0,6.0,12.0,369.0,7.0,17.0,11.8,0.26,0.663,0.263,0.506,0.136,0.4,0.085,0.5,Kyle Anderson2020,0,0,0,0,0,0,0,0
Ryan Anderson,C,31.0,HOU,2.0,0.0,7.0,1.0,3.5,0.286,0.5,2.5,0.2,0.5,1.0,0.5,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,78.0,98.0,2020,9.4,0.357,0.714,0.0,0.0,52.9,26.2,20.4,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037,-3.3,0.5,-2.8,0.0,0.0,0.0,0.0,0.0,1.0,21.9,19.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,21.4,0.143,0.0,0.0,0.0,0.143,1.0,0.0,0.0,Ryan Anderson2020,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,PF,25.0,MIL,63.0,63.0,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,116.0,97.0,2020,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,0.0,0.0,0.0,0.76,0.24,15.8,12.7,66.0,58.0,50.0,306.0,65.0,10.0,902.0,94.0,69.0,9.8,0.482,0.779,0.16,0.343,0.073,0.433,0.048,0.4,Giannis Antetokounmpo2020,0,0,0,0,1,0,0,1
Kostas Antetokounmpo,PF,22.0,LAL,5.0,0.0,4.0,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.6,1.0,0.2,0.4,0.5,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,153.0,115.0,2020,16.3,0.902,0.0,0.667,11.1,5.4,8.2,13.7,0.0,0.0,20.5,10.3,0.1,0.0,0.1,0.193,0.2,-0.9,-0.7,0.0,0.0,0.0,0.0,0.28,0.72,18.3,12.6,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kostas Antetokounmpo2020,0,0,0,0,0,0,0,0
Thanasis Antetokounmpo,SF,27.0,MIL,20.0,2.0,6.5,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.4,0.9,0.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,98.0,103.0,2020,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,0.0,0.22,0.65,0.13,0.0,-3.1,-13.6,5.0,2.0,6.0,8.0,4.0,1.0,38.0,2.0,3.0,8.1,0.667,0.656,0.063,0.333,0.063,0.667,0.0,0.0,Thanasis Antetokounmpo2020,0,0,0,0,0,0,0,0
Carmelo Anthony,PF,35.0,POR,58.0,58.0,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,104.0,115.0,2020,12.4,0.525,0.289,0.206,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,0.0,0.0,0.05,0.89,0.05,0.4,2.9,35.0,17.0,66.0,80.0,30.0,7.0,212.0,16.0,46.0,14.5,0.193,0.53,0.105,0.476,0.238,0.419,0.175,0.38,Carmelo Anthony2020,0,0,0,0,0,0,0,0
OG Anunoby,SF,22.0,TOR,69.0,68.0,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,114.0,104.0,2020,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7,0.0,0.02,0.62,0.35,0.01,6.8,0.3,29.0,20.0,75.0,42.0,13.0,15.0,276.0,12.0,60.0,11.6,0.452,0.68,0.111,0.27,0.025,0.357,0.009,0.2,OG Anunoby2020,0,0,0,0,0,0,0,0
Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,111.0,113.0,2020,9.0,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2,1.0,0.0,0.0,0.0,0.0,-4.2,-1.3,24.0,8.0,45.0,9.0,1.0,32.0,237.0,0.0,10.0,18.4,0.15,0.606,0.1,0.318,0.1,0.318,0.023,0.4,Ryan Arcidiacono2020,0,0,0,0,0,0,0,0
Trevor Ariza,SF,34.0,TOT,53.0,21.0,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,114.0,112.0,2020,11.0,0.593,0.639,0.228,2.5,15.7,9.0,8.0,2.2,0.9,13.6,11.8,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.5,0.0,0.02,0.88,0.1,0.0,-0.2,1.7,28.0,10.0,33.0,36.0,5.0,15.0,223.0,8.0,11.0,17.0,0.269,0.701,0.065,0.19,0.012,0.0,0.015,0.0,Trevor Ariza2020,0,0,0,0,0,0,0,0
D.J. Augustin,PG,32.0,ORL,57.0,13.0,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2.0,4.6,0.438,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,114.0,114.0,2020,14.0,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2.0,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2,1.0,0.0,0.0,0.0,0.0,2.1,5.2,51.0,20.0,22.0,64.0,10.0,12.0,640.0,11.0,31.0,15.9,0.197,0.571,0.167,0.286,0.121,0.5,0.078,0.333,D.J. Augustin2020,0,0,0,0,0,0,0,0
Deandre Ayton,C,21.0,PHO,38.0,32.0,32.5,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.553,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,111.0,108.0,2020,20.0,0.568,0.023,0.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7,0.0,0.0,0.0,0.01,0.99,3.4,4.5,21.0,21.0,72.0,44.0,15.0,2.0,165.0,15.0,37.0,6.7,0.461,0.725,0.227,0.411,0.188,0.393,0.1,0.386,Deandre Ayton2020,0,0,0,0,0,0,0,0
Dwayne Bacon,SG,24.0,CHO,39.0,11.0,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,86.0,114.0,2020,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,0.03,0.43,0.55,0.0,0.0,-7.8,-0.9,12.0,11.0,21.0,29.0,6.0,4.0,137.0,9.0,20.0,11.6,0.32,0.449,0.238,0.345,0.107,0.231,0.061,0.333,Dwayne Bacon2020,0,0,0,0,0,0,0,0
Marvin Bagley III,C,20.0,SAC,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,102.0,111.0,2020,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,0.0,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1,0.0,0.0,0.0,0.13,0.87,-14.0,-13.2,3.0,6.0,21.0,18.0,2.0,4.0,24.0,7.0,16.0,8.2,0.431,0.681,0.293,0.306,0.06,0.2,0.084,0.571,Marvin Bagley III2020,0,0,0,0,0,0,0,0
Lonzo Ball,PG,22.0,NOP,63.0,54.0,32.1,4.4,10.9,0.403,2.3,6.3,0.375,2.0,4.6,0.442,0.7,1.2,0.566,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,103.0,111.0,2020,13.1,0.517,0.575,0.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,0.4,2.0,2.4,0.058,0.1,0.6,0.6,1.3,0.86,0.15,0.0,0.0,0.0,-1.0,0.8,129.0,29.0,67.0,26.0,13.0,7.0,1045.0,5.0,34.0,17.7,0.215,0.608,0.083,0.246,0.049,0.324,0.079,0.278,Lonzo Ball2020,0,0,0,0,0,0,0,0
Mo Bamba,C,21.0,ORL,62.0,0.0,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,111.0,103.0,2020,17.5,0.542,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5,0.0,0.0,0.0,0.0,1.0,1.6,3.5,9.0,9.0,77.0,21.0,14.0,2.0,108.0,4.0,25.0,12.4,0.406,0.681,0.126,0.194,0.031,0.444,0.063,0.278,Mo Bamba2020,0,0,0,0,0,0,0,0
J.J. Barea,PG,35.0,DAL,29.0,6.0,15.5,2.9,7.1,0.411,1.1,2.9,0.376,1.8,4.2,0.434,0.7,0.8,0.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,109.0,116.0,2020,14.6,0.512,0.411,0.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,0.5,0.2,0.7,0.072,1.6,-3.0,-1.4,0.1,1.0,0.0,0.0,0.0,0.0,0.7,-4.8,28.0,7.0,8.0,11.0,2.0,17.0,264.0,2.0,7.0,14.8,0.266,0.582,0.15,0.29,0.101,0.286,0.072,0.4,J.J. Barea2020,0,0,0,0,0,0,0,0
Harrison Barnes,PF,27.0,SAC,72.0,72.0,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,3.0,3.7,0.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,116.0,116.0,2020,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,3.4,1.1,4.6,0.088,0.0,-1.3,-1.3,0.5,0.0,0.0,0.43,0.54,0.03,-2.5,-1.4,36.0,26.0,46.0,122.0,15.0,20.0,407.0,22.0,40.0,11.8,0.294,0.691,0.285,0.363,0.058,0.304,0.025,0.3,Harrison Barnes2020,0,0,0,0,0,0,0,0
RJ Barrett,SG,19.0,NYK,56.0,55.0,30.4,5.2,13.0,0.402,1.1,3.5,0.32,4.1,9.5,0.432,2.8,4.5,0.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,95.0,114.0,2020,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1.0,0.0,0.72,0.27,0.01,0.0,-9.2,-6.1,65.0,34.0,58.0,121.0,15.0,11.0,322.0,26.0,60.0,10.7,0.392,0.568,0.201,0.267,0.065,0.277,0.072,0.288,RJ Barrett2020,0,0,0,0,0,0,0,0
Will Barton,SF,29.0,DEN,58.0,58.0,33.0,5.7,12.7,0.45,1.9,5.0,0.375,3.9,7.8,0.498,1.8,2.3,0.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,113.0,111.0,2020,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5,0.0,0.28,0.71,0.01,0.0,6.0,8.2,45.0,19.0,58.0,57.0,12.0,8.0,485.0,16.0,45.0,13.5,0.286,0.616,0.186,0.328,0.079,0.414,0.06,0.568,Will Barton2020,0,0,0,0,0,0,0,0
Keita Bates-Diop,PF-SF,24.0,TOT,44.0,0.0,16.9,2.3,5.3,0.427,0.8,2.3,0.33,1.5,3.0,0.504,1.2,1.7,0.72,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,111.0,113.0,2020,12.4,0.539,0.44,0.321,3.5,15.1,9.1,5.8,1.2,2.7,6.0,15.8,0.6,0.6,1.2,0.078,-1.0,-0.4,-1.4,0.1,0.0,0.04,0.28,0.66,0.02,-11.2,-11.4,7.0,5.0,28.0,39.0,2.0,0.0,77.0,9.0,19.0,12.9,0.385,0.611,0.128,0.3,0.034,0.125,0.013,0.333,Keita Bates-Diop2020,0,0,0,0,0,0,0,0
Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.346,0.6,2.2,0.286,0.6,1.5,0.438,0.4,0.5,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,107.0,112.0,2020,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.2,0.4,0.6,0.055,-2.8,0.9,-1.9,0.0,0.0,0.0,0.67,0.32,0.0,-2.9,5.1,11.0,3.0,13.0,4.0,0.0,13.0,158.0,1.0,4.0,18.1,0.222,0.611,0.012,1.0,0.074,0.333,0.086,0.0,Nicolas Batum2020,0,0,0,0,0,0,0,0
Aron Baynes,C,33.0,PHO,42.0,28.0,22.2,4.4,9.1,0.48,1.4,4.0,0.351,3.0,5.1,0.582,1.3,1.8,0.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,113.0,112.0,2020,15.2,0.581,0.441,0.197,8.3,20.0,14.1,10.9,0.5,2.1,10.8,21.1,1.3,0.8,2.1,0.107,-0.2,-0.8,-1.0,0.2,0.0,0.0,0.0,0.12,0.88,-1.4,-2.5,12.0,8.0,71.0,27.0,20.0,21.0,163.0,8.0,16.0,13.3,0.333,0.638,0.171,0.569,0.039,0.333,0.016,0.167,Aron Baynes2020,0,0,0,0,0,0,0,0
Kent Bazemore,SF,30.0,TOT,68.0,21.0,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,4.3,0.4,1.7,2.2,0.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,96.0,112.0,2020,9.3,0.499,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.1,-0.5,0.0,0.37,0.61,0.01,0.0,1.3,3.7,55.0,20.0,94.0,60.0,11.0,34.0,213.0,14.0,37.0,14.9,0.268,0.531,0.139,0.243,0.069,0.297,0.067,0.306,Kent Bazemore2020,0,0,0,0,0,0,0,0
Darius Bazley,PF,19.0,OKC,61.0,9.0,18.5,2.0,5.2,0.394,0.8,2.3,0.348,1.2,2.9,0.432,0.7,1.0,0.694,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,96.0,108.0,2020,9.6,0.497,0.445,0.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,-0.5,1.5,1.0,0.041,-2.1,0.5,-1.6,0.1,0.0,0.0,0.02,0.93,0.05,-2.8,-6.6,21.0,8.0,32.0,30.0,8.0,7.0,104.0,3.0,28.0,13.7,0.287,0.604,0.196,0.226,0.038,0.25,0.035,0.364,Darius Bazley2020,0,0,0,0,0,0,0,0
Bradley Beal,SG,26.0,WAS,57.0,57.0,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.4,0.515,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,113.0,117.0,2020,23.2,0.579,0.369,0.351,2.7,10.5,6.4,29.5,1.6,1.0,11.4,34.4,4.5,0.6,5.1,0.118,5.3,-2.4,2.9,2.5,0.02,0.82,0.16,0.0,0.0,-4.7,-0.3,95.0,59.0,52.0,196.0,27.0,20.0,815.0,40.0,52.0,14.7,0.239,0.689,0.141,0.397,0.135,0.438,0.115,0.387,Bradley Beal2020,0,0,0,0,0,0,0,0
Malik Beasley,SG,23.0,TOT,55.0,14.0,22.0,4.1,9.7,0.425,1.9,5.0,0.388,2.2,4.7,0.465,1.0,1.2,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,105.0,114.0,2020,12.7,0.546,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0.0,0.04,0.92,0.04,0.0,0.0,-1.9,-1.0,23.0,18.0,32.0,26.0,8.0,7.0,187.0,5.0,29.0,16.7,0.189,0.634,0.129,0.261,0.096,0.471,0.069,0.378,Malik Beasley2020,0,0,0,0,0,0,0,0
Marco Belinelli,SG,33.0,SAS,57.0,0.0,15.5,2.2,5.5,0.392,1.2,3.1,0.376,1.0,2.4,0.412,0.8,1.0,0.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,110.0,118.0,2020,10.8,0.532,0.567,0.185,0.9,11.2,6.0,10.7,0.6,0.1,5.3,17.5,0.7,0.2,0.8,0.046,-0.7,-2.0,-2.7,-0.2,0.01,0.24,0.67,0.09,0.0,1.1,3.1,7.0,6.0,27.0,20.0,1.0,6.0,160.0,4.0,9.0,20.5,0.086,0.667,0.048,0.2,0.048,0.333,0.252,0.38,Marco Belinelli2020,0,0,0,0,0,0,0,0
Jordan Bell,C,25.0,TOT,29.0,0.0,8.8,1.2,2.3,0.522,0.1,0.4,0.333,1.1,1.9,0.564,0.7,1.1,0.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2,108.0,112.0,2020,13.9,0.577,0.179,0.463,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0.0,0.0,0.0,0.0,0.7,0.3,-2.7,-0.1,10.0,7.0,13.0,8.0,1.0,3.0,40.0,1.0,4.0,7.2,0.627,0.643,0.119,0.5,0.045,0.0,0.03,0.0,Jordan Bell2020,0,0,0,0,0,0,0,0
DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,95.0,112.0,2020,9.6,0.5,0.285,0.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1,0.12,0.8,0.08,0.0,0.0,-11.6,-5.1,36.0,16.0,31.0,23.0,4.0,12.0,190.0,3.0,18.0,9.7,0.469,0.607,0.206,0.426,0.031,0.571,0.009,0.0,DeAndre' Bembry2020,0,0,0,0,0,0,0,0
Dragan Bender,PF-C,22.0,TOT,16.0,3.0,17.9,2.6,5.8,0.446,0.9,2.7,0.349,1.6,3.1,0.531,0.6,0.9,0.714,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7,102.0,110.0,2020,10.9,0.545,0.467,0.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,0.0,0.3,0.3,0.052,-3.0,0.1,-3.0,-0.1,0.0,0.0,0.08,0.78,0.14,0.4,-0.9,12.0,2.0,29.0,8.0,4.0,1.0,64.0,2.0,8.0,13.9,0.272,0.68,0.261,0.375,0.0,0.0,0.0,0.0,Dragan Bender2020,0,0,0,0,0,0,0,0
