Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,BadPass,LostBall,Shoot Foul Commit,Shoot Foul Drawn,Off Foul Commit,Off Foul Drawn,PGA,And1,Blkd,Avg Dist on Shot,0-3 FGA,0-3 FG%,3-10 FGA,3-10 FG%,10-16 FGA,10-16 FG%,16-3P FGA,16-3P FG%,Player Key,All NBA 1st,All NBA 2nd,All NBA 3rd,All NBA,All NBA 1st2,All NBA 2nd2,All NBA 3rd2,All NBA Prev
Justin Robinson,PG,22.0,WAS,9.0,0.0,5.4,0.6,1.3,0.417,0.3,0.6,0.6,0.2,0.8,0.286,0.0,0.0,0.0,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4,105.0,120.0,2020,8.2,0.542,0.417,0.0,2.1,9.3,5.6,18.8,0.0,1.8,20.0,12.7,0.0,0.0,0.0,0.007,-2.6,-3.1,-5.7,0.0,0.69,0.31,0.0,0.0,0.0,28.1,33.1,2.0,1.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,20.4,0.0,0.0,0.083,1.0,0.0,0.0,0.5,0.167,Justin Robinson2020,0,0,0,0,0,0,0,0
Mitchell Robinson,C,21.0,NYK,61.0,7.0,23.1,4.1,5.6,0.742,0.0,0.0,0.0,4.1,5.6,0.742,1.4,2.4,0.568,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7,144.0,107.0,2020,23.5,0.726,0.0,0.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,0.23,1.6,1.4,2.9,1.8,0.0,0.0,0.0,0.0,1.0,-3.1,5.9,5.0,11.0,121.0,74.0,14.0,4.0,82.0,18.0,20.0,1.3,0.924,0.775,0.073,0.36,0.003,0.0,0.0,0.0,Mitchell Robinson2020,0,0,0,0,0,0,0,0
Isaiah Roby,PF,21.0,OKC,3.0,0.0,3.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0,0.0,113.0,2020,-7.7,0.0,0.0,0.0,0.0,19.5,10.0,0.0,0.0,0.0,50.0,8.0,-0.1,0.0,0.0,-0.188,-12.1,-3.4,-15.5,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,-9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Isaiah Roby2020,0,0,0,0,0,0,0,0
Rajon Rondo,PG,33.0,LAL,48.0,3.0,20.5,2.9,6.8,0.418,0.9,2.6,0.328,2.0,4.2,0.473,0.6,0.9,0.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1,103.0,108.0,2020,12.4,0.494,0.381,0.125,2.6,13.1,7.9,32.9,1.9,0.2,20.8,18.7,0.1,1.3,1.4,0.068,-1.2,-0.1,-1.3,0.2,1.0,0.0,0.0,0.0,0.0,1.9,-5.5,67.0,7.0,16.0,13.0,6.0,11.0,566.0,1.0,15.0,13.6,0.305,0.58,0.171,0.357,0.064,0.381,0.079,0.385,Rajon Rondo2020,0,0,0,0,0,0,0,0
Derrick Rose,PG,31.0,DET,50.0,15.0,26.0,7.4,15.1,0.49,0.9,2.9,0.306,6.5,12.1,0.535,2.4,2.8,0.871,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0,18.1,109.0,115.0,2020,21.0,0.555,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,1.8,0.7,2.5,0.092,3.9,-1.7,2.2,1.4,0.98,0.02,0.0,0.0,0.0,-3.6,0.9,71.0,45.0,27.0,73.0,4.0,8.0,700.0,22.0,56.0,10.9,0.301,0.665,0.252,0.458,0.145,0.468,0.106,0.438,Derrick Rose2020,0,0,0,0,0,0,0,0
Terrence Ross,SG,28.0,ORL,69.0,0.0,27.4,4.9,12.3,0.403,2.6,7.3,0.351,2.4,5.0,0.48,2.3,2.7,0.853,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6,14.7,106.0,110.0,2020,14.0,0.548,0.596,0.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,0.077,-0.1,-0.3,-0.4,0.8,0.02,0.7,0.29,0.0,0.0,-2.8,-4.0,34.0,15.0,49.0,68.0,14.0,0.0,198.0,22.0,41.0,20.1,0.09,0.763,0.066,0.339,0.104,0.398,0.144,0.426,Terrence Ross2020,0,0,0,0,0,0,0,0
Terry Rozier,PG,25.0,CHO,63.0,63.0,34.3,6.3,14.9,0.423,2.7,6.7,0.407,3.6,8.2,0.436,2.6,3.0,0.874,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0,108.0,115.0,2020,14.8,0.553,0.45,0.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,0.066,0.8,-1.2,-0.4,0.8,1.0,0.0,0.0,0.0,0.0,-10.1,-9.5,79.0,23.0,49.0,64.0,20.0,20.0,627.0,20.0,46.0,15.6,0.221,0.553,0.149,0.343,0.103,0.361,0.078,0.384,Terry Rozier2020,0,0,0,0,0,0,0,0
Ricky Rubio,PG,29.0,PHO,65.0,65.0,31.0,4.4,10.6,0.415,1.2,3.3,0.361,3.2,7.3,0.439,3.0,3.5,0.863,0.7,4.0,4.7,8.8,1.4,0.2,2.7,2.6,13.0,113.0,111.0,2020,16.5,0.535,0.312,0.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,2.9,2.0,4.9,0.117,0.7,0.2,1.0,1.5,0.87,0.13,0.0,0.0,0.0,3.1,6.3,123.0,25.0,54.0,91.0,5.0,49.0,1300.0,16.0,43.0,13.9,0.249,0.529,0.137,0.284,0.133,0.489,0.169,0.393,Ricky Rubio2020,0,0,0,0,0,0,0,0
D'Angelo Russell,PG,23.0,TOT,45.0,45.0,32.3,8.0,18.8,0.426,3.5,9.6,0.367,4.5,9.2,0.487,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,106.0,115.0,2020,18.7,0.556,0.509,0.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,0.06,3.8,-1.9,1.9,1.4,0.87,0.13,0.0,0.0,0.0,-8.5,-2.4,100.0,40.0,37.0,75.0,4.0,7.0,646.0,10.0,18.0,19.1,0.078,0.712,0.118,0.39,0.155,0.42,0.139,0.517,D'Angelo Russell2020,0,0,0,0,0,0,0,0
Domantas Sabonis,PF,23.0,IND,62.0,62.0,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5,115.0,106.0,2020,20.7,0.586,0.079,0.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,4.1,3.4,7.5,0.168,2.0,1.2,3.2,2.9,0.0,0.0,0.0,0.53,0.47,3.4,2.9,61.0,45.0,80.0,131.0,44.0,2.0,731.0,32.0,56.0,7.2,0.511,0.686,0.225,0.382,0.047,0.35,0.138,0.487,Domantas Sabonis2020,0,0,0,0,0,0,0,0
